restaurant_key,business_name,aka_name,license_number,street_address,city,state,zip
8589951429,"NARY'S GRILL & PIZZA ,INC.","NARY'S GRILL & PIZZA ,INC.",2551263.0,4232 S ARCHER AVE,CHICAGO,IL,60632
8589951430,ARAMARK,LU'S DELI/ CATERING,2269986.0,26 E PEARSON ST,CHICAGO,IL,60611
8589951431,GREEK CORNER GYROS,GREEK CORNER GYROS,2770801.0,958 N DAMEN AVE,CHICAGO,IL,60622
8589951432,CRERAR CAFE,PEACH'S @ UNIVERSITY,2636448.0,5730 S ELLIS AVE,CHICAGO,IL,60637
8589951433,"ASIAN CHOPSTICKS, INC","ASIAN CHOPSTICKS, INC",2363821.0,28 E ROOSEVELT RD,CHICAGO,IL,60605
8589951434,HALSTED STREET DELI & BAGEL,HALSTED STREET DELI & BAGEL,2569647.0,203 N LA SALLE ST,CHICAGO,IL,60601
8589951435,LANGSTON HUGHES,LANGSTON HUGHES,26641.0,240 W 104TH ST,CHICAGO,IL,60628
8589951436,HYMAN G RICKOVER NAVAL ACADEMY HIGH SCHOOL,RICKOVER MILITARY HIGH SCHOOL,3869270.0,5700 W BERTEAU AVE,CHICAGO,IL,60634
8589951437,VOLCANO EXPRESS,VOLCANO EXPRESS,2867997.0,6011 W IRVING PARK RD,CHICAGO,IL,60634
8589951438,ZITALIAN BEEFS,ZITALIAN BEEFS,2978064.0,3857 W ROOSEVELT RD,CHICAGO,IL,60624
8589951439,SEAFOOD FISH & CHICKEN CRIB,SEAFOOD FISH & CHICKEN CRIB,2929612.0,25 S PULASKI RD,CHICAGO,IL,60624
8589951440,KARAHI CORNER AND MORE,KARAHI CORNER AND MORE,2786507.0,2658 W DEVON AVE,CHICAGO,IL,60659
8589951441,PRETTY COOL ICE CREAM,PRETTY COOL ICE CREAM,2845110.0,709 W BELDEN AVE,CHICAGO,IL,60614
8589951442,CARLUCCI,CARLUCCI,2791426.0,400 E RANDOLPH ST,CHICAGO,IL,60601
8589951443,MCDONALD'S,MCDONALD'S,2890687.0,6515 S WESTERN AVE,CHICAGO,IL,60636
8589951444,"INES RESTAURANTE, CORP.","INES RESTAURANTE, CORP.",2564888.0,4933 S ASHLAND AVE,CHICAGO,IL,60609
8589951445,AFC SUSHI @ JEWEL OSCO #3234,AFC SUSHI @ JEWEL OSCO #3234,2535148.0,102 W DIVISION ST,CHICAGO,IL,60610
8589951446,BECKS PRIME,,,5931 FOREST LN,DALLAS,TX,75230
8589951447,LA CALLE DOCE BAR & COURTYARD,,,415 W TWELTH ST,DALLAS,TX,75208
8589951448,TIFF'S TREATS BAKERY,,,9540 GARLAND RD #411,DALLAS,TX,75218
8589951449,EVERYDAY WORKS,,,516 S HAMPTON RD #180,DALLAS,TX,75208
8589951450,SILVER'S SEAFOOD RESTAURANT,SILVER'S SEAFOOD RESTAURANT,1144034.0,4829 N BROADWAY,CHICAGO,IL,60640
8589951451,HOLLYWOOD WINE & DELI,HOLLYWOOD WINE & DELI,2966266.0,5652 N WESTERN AVE,CHICAGO,IL,60659
8589951452,"71ST PUBLIC WHOLESALE, INC.","71ST PUBLIC WHOLESALE, INC.",2896066.0,21 E 71ST ST FRNT,CHICAGO,IL,60619
8589951453,TAMALES MI CHULA,TAMALES MI CHULA,2943463.0,4638 N KEDZIE AVE,CHICAGO,IL,60625
8589951454,RAISING CANES 892,RAISING CANES,2850617.0,2 N MICHIGAN AVE,CHICAGO,IL,60602
8589951455,MAR & SUCHII,MAR & SUCHII,2890583.0,3537 E 106TH ST,CHICAGO,IL,60617
8589951456,SNAIL THAI CUISINE,SNAIL THAI CUISINE,1617795.0,1649 E 55TH ST,CHICAGO,IL,60615
8589951457,MARTINEZ SUPERMARKET INC,MARTINEZ SUPERMARKET,2437247.0,3301 S MORGAN ST,CHICAGO,IL,60608
8589951458,FISHERMAN'S ISLAND,FISHERMAN'S ISLAND,2386053.0,6659 S WENTWORTH AVE,CHICAGO,IL,60621
8589951459,PARLOR PIZZA BAR,PARLOR PIZZA BAR,2579164.0,405 N DEARBORN ST,CHICAGO,IL,60654
8589951460,CUDDLE CARE,CUDDLE CARE,2216867.0,4800 S LAKE PARK AVE,CHICAGO,IL,60615
8589951461,POTBELLY SANDWICH WORKS,POTBELLY SANDWICH WORKS,1801888.0,225 W RANDOLPH ST,CHICAGO,IL,60606
8589951462,MERCHANT,THE DUPLEX,1046040.0,3137-3139 W LOGAN BLVD,CHICAGO,IL,60647
8589951463,THE LEARNING PLACE,THE LEARNING PLACE,2664128.0,406-414 E 75TH ST,CHICAGO,IL,60619
8589951464,PLATINUM,PLATINUM,2718772.0,6251 N MCCORMICK RD,CHICAGO,IL,60659
8589951465,STARBUCKS COFFEE #7948,STARBUCKS COFFEE,2809064.0,2730 N NARRAGANSETT AVE,CHICAGO,IL,60639
8589951466,DUNKIN DONUTS,DUNKIN DONUTS,2862316.0,5001-5005 S WESTERN AVE,CHICAGO,IL,60609
8589951467,SOCIETY 2201,SOCIETY 2201,2873329.0,2201 W WALNUT ST,CHICAGO,IL,60612
8589951468,TASTEE FREEZ,TASTEE FREEZ,1047032.0,2815 W Armitage,CHICAGO,IL,60647
8589951469,SHINYA RAMEN HOUSE,SHINYA RAMEN HOUSE,2578639.0,3240 S HALSTED ST,CHICAGO,IL,60608
8589951470,EMPTY BOTTLE INC,EMPTY BOTTLE INC,2791370.0,1035 N WESTERN AVE,CHICAGO,IL,60622
8589951471,MARCELA'S PIZZA,MARCELA'S PIZZA,2808606.0,1858 W PERSHING RD,CHICAGO,IL,60609
8589951472,"SYNERGY FOODS PRODUCE, LLC","SYNERGY FOODS PRODUCE, LLC",2786717.0,385 MACKINAW AVE,CALUMET CITY,IL,60409
8589951473,RUBYS SOULFOOD DOWNTOWN,RUBYS SOULFOOD DOWNTOWN,2704459.0,100 W RANDOLPH ST,CHICAGO,IL,60601
8589951474,CITGO,CITGO,3010724.0,1151 W 63RD ST,CHICAGO,IL,60621
8589951475,THE BAYOUK GROUP,THE BAYOUK GROUP,3002467.0,5824 W Division ST,CHICAGO,IL,60651
8589951476,ASIAN MINT,,,11617 N CENTRAL EXPW #135,DALLAS,TX,75243
8589951477,WILLIAMS FRIED CHICKEN,,,6226 MARVIN D LOVE FRWY,DALLAS,TX,75224
8589951478,FRUTERIA Y NIEVERIA COCO'S,,,6212 SAMUELL BLVD,DALLAS,TX,75228
8589951479,J'S CHICKEN AND RICE,,,3420 W ILLINOIS AVE #400,DALLAS,TX,75211
8589951480,LAILI RESTAURANT,,,920 S HARWOOD ST #112,DALLAS,TX,75201
8589951481,LITTLE CAESARS PIZZA,,,655 W ILLINOIS AVE 1085,DALLAS,TX,75224
8589951482,CONCESSION STAND HOME,,,9191 S POLK ST,DALLAS,TX,75232
8589951483,PARACHUTE,PARACHUTE,2298931.0,3500 N ELSTON AVE,CHICAGO,IL,60618
8589951484,NUTS ON CLARK,NUTS ON CLARK  (T3  H7),2146327.0,11601 W TOUHY AVE,CHICAGO,IL,60666
8589951485,TRAILITAS,LA TRAILITA,2930282.0,5940 W DIVERSEY AVE,CHICAGO,IL,60639
8589951486,"GREAT CHINA HOUSE, INC.",GREAT CHINA HOUSE,2203561.0,2300 S DAMEN AVE,CHICAGO,IL,60608
8589951487,JUST A DASH FOOD SERVICE,(SCHOOL) PERSPECTIVES IIT MATH & SCIENE,2993705.0,3663 S WABASH AVE,CHICAGO,IL,60653
8589951488,CHILDREN INTERNATIONAL ACADEMY,CHILDREN INTERNATIONAL ACADEMY,2215957.0,5858 W ROOSEVELT RD,CHICAGO,IL,60644
8589951489,SIAM FOOD COMPANY,SIAM FOOD COMPANY,21017.0,1639-1643 E 55TH ST,CHICAGO,IL,60615
8589951490,POPEYE'S CHICKEN,POPEYE'S CHICKEN,30212.0,5248 W BELMONT AVE,CHICAGO,IL,60641
8589951491,HALE FAMILY MCDONALD'S,HALE FAMILY MCDONALD'S,2771131.0,9211 S COMMERCIAL AVE,CHICAGO,IL,60617
